"日付け","終値","始値","高値","安値","出来高","前日比%"
"2008年11月18日","30,050.0","29,900.0","30,500.0","29,760.0","25.10K","-2.12%"
"2008年11月17日","30,700.0","29,670.0","31,400.0","29,670.0","31.90K","2.44%"
"2008年11月14日","29,970.0","30,300.0","30,450.0","29,720.0","41.80K","4.97%"
"2008年11月13日","28,550.0","28,990.0","29,330.0","28,320.0","97.90K","-6.85%"
"2008年11月12日","30,650.0","29,980.0","31,250.0","29,860.0","25.10K","-1.29%"
"2008年11月11日","31,050.0","31,150.0","31,900.0","30,500.0","38.60K","-4.02%"
"2008年11月10日","32,350.0","33,700.0","33,900.0","32,300.0","53.10K","0.00%"
"2008年11月07日","32,350.0","30,000.0","33,250.0","29,960.0","52.80K","-2.27%"
"2008年11月06日","33,100.0","33,450.0","33,950.0","32,600.0","60.30K","-8.82%"
"2008年11月05日","36,300.0","33,850.0","36,400.0","33,650.0","56.60K","11.18%"
"2008年11月04日","32,650.0","33,300.0","33,300.0","32,250.0","33.30K","4.31%"
"2008年10月31日","31,300.0","31,500.0","33,050.0","29,780.0","84.30K","1.95%"
"2008年10月30日","30,700.0","29,780.0","30,700.0","29,000.0","80.50K","10.91%"
"2008年10月29日","27,680.0","27,680.0","27,680.0","27,410.0","69.20K","12.16%"
"2008年10月28日","24,680.0","24,100.0","24,680.0","22,000.0","71.00K","1.15%"
"2008年10月27日","24,400.0","26,800.0","27,500.0","24,400.0","39.50K","-10.95%"
"2008年10月24日","27,400.0","29,930.0","29,930.0","27,250.0","72.70K","-9.12%"
"2008年10月23日","30,150.0","30,500.0","30,600.0","29,080.0","64.80K","-8.36%"
"2008年10月22日","32,900.0","33,700.0","34,400.0","32,850.0","32.00K","-7.71%"
"2008年10月21日","35,650.0","36,050.0","36,200.0","34,800.0","38.50K","2.89%"
"2008年10月20日","34,650.0","33,900.0","34,650.0","33,100.0","38.20K","2.97%"
"2008年10月17日","33,650.0","35,500.0","36,300.0","32,900.0","28.20K","-4.27%"
"2008年10月16日","35,150.0","35,200.0","35,850.0","35,150.0","22.60K","-10.22%"
"2008年10月15日","39,150.0","40,400.0","40,450.0","37,900.0","51.30K","7.11%"
"2008年10月10日","36,550.0","32,350.0","36,750.0","32,300.0","66.50K","5.33%"
"2008年10月09日","34,700.0","32,700.0","34,700.0","32,550.0","31.00K","13.03%"
"2008年10月08日","30,700.0","33,800.0","33,800.0","30,700.0","47.00K","-11.14%"
"2008年10月07日","34,550.0","31,550.0","35,950.0","31,550.0","44.30K","2.98%"
"2008年10月06日","33,550.0","34,250.0","34,900.0","32,900.0","53.00K","-7.45%"
"2008年10月03日","36,250.0","37,300.0","37,400.0","35,800.0","46.10K","-8.69%"
"2008年10月02日","39,700.0","41,950.0","42,400.0","39,500.0","23.30K","-3.17%"
"2008年10月01日","41,000.0","43,500.0","43,850.0","40,700.0","33.60K","-4.87%"
"2008年09月30日","43,100.0","41,950.0","43,350.0","41,600.0","29.30K","-4.54%"
"2008年09月29日","45,150.0","46,450.0","47,500.0","45,000.0","18.90K","-3.63%"
"2008年09月26日","46,850.0","47,700.0","47,800.0","46,450.0","30.90K","-1.68%"
"2008年09月25日","47,650.0","47,550.0","48,150.0","47,150.0","10.10K","-1.14%"
"2008年09月24日","48,200.0","47,900.0","48,450.0","46,100.0","25.90K","-2.82%"
"2008年09月22日","49,600.0","49,500.0","49,800.0","48,900.0","23.30K","4.31%"
"2008年09月19日","47,550.0","45,550.0","47,550.0","45,000.0","52.90K","8.19%"
"2008年09月18日","43,950.0","44,450.0","44,800.0","42,600.0","45.90K","-5.38%"
"2008年09月17日","46,450.0","47,050.0","47,950.0","45,950.0","30.50K","1.98%"
"2008年09月16日","45,550.0","45,650.0","46,350.0","45,100.0","38.50K","-5.99%"
"2008年09月12日","48,450.0","48,250.0","49,150.0","47,950.0","149.00K","0.83%"
"2008年09月11日","48,050.0","49,250.0","49,550.0","48,050.0","34.60K","-3.22%"
"2008年09月10日","49,650.0","49,600.0","50,000.0","49,050.0","33.40K","-2.84%"
"2008年09月09日","51,100.0","52,600.0","52,600.0","50,800.0","17.30K","-3.40%"
"2008年09月08日","52,900.0","53,400.0","53,500.0","52,700.0","17.30K","2.72%"
"2008年09月05日","51,500.0","50,800.0","51,800.0","50,700.0","52.30K","-3.20%"
"2008年09月04日","53,200.0","53,900.0","54,200.0","52,700.0","18.60K","-1.30%"
"2008年09月03日","53,900.0","53,300.0","53,900.0","53,000.0","16.80K","2.08%"
"2008年09月02日","52,800.0","53,300.0","54,200.0","52,400.0","25.70K","-1.68%"
"2008年09月01日","53,700.0","53,400.0","54,600.0","53,300.0","55.40K","4.47%"
"2008年08月29日","51,400.0","49,250.0","51,800.0","48,150.0","83.50K","6.75%"
"2008年08月28日","48,150.0","49,550.0","49,550.0","47,800.0","28.90K","-2.23%"
"2008年08月27日","49,250.0","49,950.0","49,950.0","49,050.0","7.60K","-0.61%"
"2008年08月26日","49,550.0","49,300.0","50,100.0","49,150.0","23.90K","-1.29%"
"2008年08月25日","50,200.0","49,900.0","51,100.0","49,900.0","19.90K","2.24%"
"2008年08月22日","49,100.0","48,700.0","49,850.0","48,700.0","14.60K","0.92%"
"2008年08月21日","48,650.0","50,400.0","50,600.0","48,600.0","19.90K","-3.28%"
